region_code,icb_code,icb_name,dexa_count_2425,cdc_count
Y63,QHM,NHS NORTH EAST AND NORTH CUMBRIA ICB,14.0,7.0
Y62,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,4.0,8.0
Y62,QOP,NHS GREATER MANCHESTER ICB,11.0,7.0
Y62,QYG,NHS CHESHIRE AND MERSEYSIDE ICB,9.0,10.0
Y63,QF7,NHS SOUTH YORKSHIRE ICB,5.0,3.0
Y60,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,5.0,2.0
Y63,QWO,NHS WEST YORKSHIRE ICB,6.0,7.0
Y63,QOQ,NHS HUMBER AND NORTH YORKSHIRE ICB,5.0,8.0
Y60,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",0.0,2.0
Y60,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,0.0,1.0
Y61,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,5.0,3.0
Y61,QM7,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2.0,5.0
Y61,QJG,NHS SUFFOLK AND NORTH EAST ESSEX ICB,0.0,3.0
Y61,QH8,NHS MID AND SOUTH ESSEX ICB,1.0,4.0
Y59,QNX,NHS SUSSEX ICB,1.0,6.0
Y59,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",3.0,4.0
Y59,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,6.0,9.0
Y58,QVV,NHS DORSET ICB,3.0,5.0
Y58,QR1,NHS GLOUCESTERSHIRE ICB,2.0,1.0
Y58,QT6,NHS CORNWALL AND THE ISLES OF SCILLY ICB,2.0,3.0
Y58,QSL,NHS SOMERSET ICB,2.0,6.0
Y58,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2.0,2.0
Y60,QHL,NHS BIRMINGHAM AND SOLIHULL ICB,4.0,3.0
Y60,QJ2,NHS DERBY AND DERBYSHIRE ICB,3.0,5.0
Y58,QJK,NHS DEVON ICB,5.0,3.0
Y60,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,1.0,2.0
Y61,QMM,NHS NORFOLK AND WAVENEY ICB,4.0,4.0
Y56,QWE,NHS SOUTH WEST LONDON ICB,5.0,4.0
Y60,QJM,NHS LINCOLNSHIRE ICB,3.0,3.0
Y56,QKK,NHS SOUTH EAST LONDON ICB,9.0,2.0
Y60,QPM,NHS NORTHAMPTONSHIRE ICB,1.0,3.0
Y59,QKS,NHS KENT AND MEDWAY ICB,5.0,6.0
Y59,QXU,NHS SURREY HEARTLANDS ICB,2.0,4.0
Y58,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2.0,3.0
Y56,QMJ,NHS NORTH CENTRAL LONDON ICB,5.0,2.0
Y56,QMF,NHS NORTH EAST LONDON ICB,3.0,3.0
Y60,QWU,NHS COVENTRY AND WARWICKSHIRE ICB,3.0,4.0
Y60,QUA,NHS BLACK COUNTRY ICB,1.0,4.0
Y59,QNQ,NHS FRIMLEY ICB,2.0,2.0
Y61,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",3.0,3.0
Y60,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",0.0,1.0
Y56,QRV,NHS NORTH WEST LONDON ICB,6.0,3.0
